sgx,sgy,sgz
-2259.07,2133.09,-5835.54
-2133.58,2133.09,-5835.54
-2259.07,2258.58,-5835.54
-2133.58,2258.58,-5835.54
-2008.09,2258.58,-5835.54
-1882.6,2258.58,-5835.54
-502.206,2258.58,-5835.54
-2133.58,2384.07,-5835.54
-2008.09,2384.07,-5835.54
-1882.6,2384.07,-5835.54
-1757.11,2384.07,-5835.54
-627.696,2384.07,-5835.54
-502.206,2384.07,-5835.54
-2008.09,2509.56,-5835.54
-1882.6,2509.56,-5835.54
-1757.11,2509.56,-5835.54
-1631.62,2509.56,-5835.54
-1506.13,2509.56,-5835.54
-878.677,2509.56,-5835.54
-753.187,2509.56,-5835.54
-627.696,2509.56,-5835.54
-1882.6,2635.05,-5835.54
-1757.11,2635.05,-5835.54
-1631.62,2635.05,-5835.54
-1506.13,2635.05,-5835.54
-1380.64,2635.05,-5835.54
-1255.15,2635.05,-5835.54
-1129.66,2635.05,-5835.54
-1004.17,2635.05,-5835.54
-878.677,2635.05,-5835.54
-753.187,2635.05,-5835.54
-1631.62,2760.54,-5835.54
-1506.13,2760.54,-5835.54
-1380.64,2760.54,-5835.54
-1255.15,2760.54,-5835.54
-1129.66,2760.54,-5835.54
-1004.17,2760.54,-5835.54
-2635.54,-1192.4,-5772.79
-2510.05,-1192.4,-5772.79
-2384.56,-1192.4,-5772.79
-2259.07,-1192.4,-5772.79
-2133.58,-1192.4,-5772.79
-2008.09,-1192.4,-5772.79
-2761.03,-1066.91,-5772.79
-1882.6,-1066.91,-5772.79
-1757.11,-1066.91,-5772.79
-2886.52,-941.422,-5772.79
-1631.62,-941.422,-5772.79
-3012.01,-815.932,-5772.79
-1506.13,-815.932,-5772.79
-1380.64,-815.932,-5772.79
-1255.15,-690.441,-5772.79
-1129.66,-690.441,-5772.79
-1004.17,-690.441,-5772.79
-3137.5,-564.951,-5772.79
-878.677,-564.951,-5772.79
-753.187,-188.48,-5772.79
-3262.99,-62.9902,-5772.79
-3262.99,438.971,-5772.79
-627.696,564.461,-5772.79
-3137.5,940.932,-5772.79
-3012.01,1317.4,-5772.79
-502.206,1442.89,-5772.79
-2886.52,1568.38,-5772.79
-2761.03,1693.87,-5772.79
-2635.54,1944.85,-5772.79
-2510.05,2070.34,-5772.79
-2384.56,2195.83,-5772.79
-2259.07,2321.32,-5772.79
-2133.58,2446.81,-5772.79
-502.206,2446.81,-5772.79
-2008.09,2572.3,-5772.79
-627.696,2572.3,-5772.79
-1882.6,2697.79,-5772.79
-1757.11,2697.79,-5772.79
-878.677,2697.79,-5772.79
-753.187,2697.79,-5772.79
-1631.62,2823.29,-5772.79
-1506.13,2823.29,-5772.79
-1380.64,2823.29,-5772.79
-1255.15,2823.29,-5772.79
-1129.66,2823.29,-5772.79
-1004.17,2823.29,-5772.79
-2698.28,-1129.66,-5772.79
-1945.34,-1129.66,-5772.79
-2823.77,-1004.17,-5772.79
-1694.36,-1004.17,-5772.79
-2949.26,-878.677,-5772.79
-1568.87,-878.677,-5772.79
-3074.75,-753.187,-5772.79
-1317.89,-753.187,-5772.79
-3074.75,-627.696,-5772.79
-941.422,-627.696,-5772.79
-3200.25,-502.206,-5772.79
-815.932,-502.206,-5772.79
-3200.25,-376.716,-5772.79
-815.932,-376.716,-5772.79
-3200.25,-251.226,-5772.79
-815.932,-251.226,-5772.79
-3200.25,-125.735,-5772.79
-690.441,-125.735,-5772.79
-3325.74,-0.245117,-5772.79
-690.441,-0.245117,-5772.79
-3325.74,125.245,-5772.79
-690.441,125.245,-5772.79
-3325.74,250.735,-5772.79
-690.441,250.735,-5772.79
-3325.74,376.226,-5772.79
-690.441,376.226,-5772.79
-3200.25,501.715,-5772.79
-690.441,501.715,-5772.79
-3200.25,627.205,-5772.79
-564.951,627.205,-5772.79
-3200.25,752.695,-5772.79
-564.951,752.695,-5772.79
-3200.25,878.186,-5772.79
-564.951,878.186,-5772.79
-3074.75,1003.68,-5772.79
-564.951,1003.68,-5772.79
-3074.75,1129.17,-5772.79
-564.951,1129.17,-5772.79
-3074.75,1254.66,-5772.79
-564.951,1254.66,-5772.79
-2949.26,1380.15,-5772.79
-564.951,1380.15,-5772.79
-2949.26,1505.64,-5772.79
-439.461,1505.64,-5772.79
-2823.77,1631.13,-5772.79
-439.461,1631.13,-5772.79
-2698.28,1756.62,-5772.79
-439.461,1756.62,-5772.79
-2698.28,1882.11,-5772.79
-439.461,1882.11,-5772.79
-2572.79,2007.6,-5772.79
-439.461,2007.6,-5772.79
-2447.3,2133.09,-5772.79
-439.461,2133.09,-5772.79
-2321.81,2258.58,-5772.79
-439.461,2258.58,-5772.79
-2196.32,2384.07,-5772.79
-439.461,2384.07,-5772.79
-2070.83,2509.56,-5772.79
-564.951,2509.56,-5772.79
-1945.34,2635.05,-5772.79
-690.441,2635.05,-5772.79
-1694.36,2760.54,-5772.79
-941.422,2760.54,-5772.79
-2635.54,-1757.11,-5710.05
-2510.05,-1757.11,-5710.05
-2384.56,-1757.11,-5710.05
-2259.07,-1757.11,-5710.05
-2133.58,-1757.11,-5710.05
-2761.03,-1631.62,-5710.05
-2635.54,-1631.62,-5710.05
-2510.05,-1631.62,-5710.05
-2384.56,-1631.62,-5710.05
-2259.07,-1631.62,-5710.05
-2133.58,-1631.62,-5710.05
-2008.09,-1631.62,-5710.05
-1882.6,-1631.62,-5710.05
-2886.52,-1506.13,-5710.05
-2761.03,-1506.13,-5710.05
-2635.54,-1506.13,-5710.05
-2510.05,-1506.13,-5710.05
-2384.56,-1506.13,-5710.05
-2259.07,-1506.13,-5710.05
-2133.58,-1506.13,-5710.05
-2008.09,-1506.13,-5710.05
-1882.6,-1506.13,-5710.05
-1757.11,-1506.13,-5710.05
-3012.01,-1380.64,-5710.05
-2886.52,-1380.64,-5710.05
-2761.03,-1380.64,-5710.05
-2635.54,-1380.64,-5710.05
-2510.05,-1380.64,-5710.05
-2384.56,-1380.64,-5710.05
-2259.07,-1380.64,-5710.05
-2133.58,-1380.64,-5710.05
-2008.09,-1380.64,-5710.05
-1882.6,-1380.64,-5710.05
-1757.11,-1380.64,-5710.05
-1631.62,-1380.64,-5710.05
-3137.5,-1255.15,-5710.05
-3012.01,-1255.15,-5710.05
-2886.52,-1255.15,-5710.05
-2761.03,-1255.15,-5710.05
-2635.54,-1255.15,-5710.05
